scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime,n_teleported,avg_trip_speed,avg_trip_timeloss,avg_trip_speed_perc,avg_trip_timeloss_perc,teleported_perc
sumohighteleporttime,1,vehev1,no-preemption,10105,4752.85,211.44,4807.00,54.149999999999636,,,False,,25,0.35,3915.34,,,
sumohighteleporttime,1,vehev1,tpnx,16993,4466.01,383.24,4520.00,53.98999999999978,1.0807991921200355,7.4758745851340125,False,1320.0,44,0.28,4913.54,-19.999999999999986,-25.24731906389639,-83.33333333333333
sumohighteleporttime,1,vehev1,tpnx,30366,4685.90,460.02,4740.00,54.100000000000364,1.031402718794682,3.0446612387622807,False,1405.0,29,0.29,4793.28,-17.14285714285715,-21.714620898751424,-15.999999999999993
sumohighteleporttime,1,vehev1,tpnx,27548,4467.20,473.07,4521.00,53.80000000000018,1.0832199140401146,7.682642551292018,False,1465.0,35,0.28,4957.09,-19.999999999999986,-26.25347018821791,-39.99999999999999
sumohighteleporttime,1,vehev1,kapustaimp,16993,27179.45,756.55,27234.00,54.54999999999927,-5.630875973199969,-463.0875973199969,False,27242.0,461,0.16,15462.38,-54.285714285714285,-294.13979358002786,-1820.8333333333333
sumohighteleporttime,1,vehev1,no-preemption,22570,4978.87,226.06,5033.00,54.13000000000011,,,False,,25,0.35,3929.79,,,
sumohighteleporttime,1,vehev1,tpnx,2094,4683.04,410.11,4737.00,53.960000000000036,1.0624829170795038,5.880839689286821,False,1331.0,35,0.29,4733.70,-17.14285714285715,-20.598291033786985,-39.99999999999999
sumohighteleporttime,1,vehev1,tpnx,6325,4660.73,405.94,4715.00,54.27000000000044,1.0209924196424165,2.056079872734884,False,1451.0,45,0.28,4977.71,-19.999999999999986,-26.91408451063331,-87.5
sumohighteleporttime,1,vehev1,no-preemption,6479,4826.00,217.39,4880.00,54.0,,,False,,25,0.35,3910.21,,,
sumohighteleporttime,1,vehev1,tpnx,4771,4465.85,470.72,4520.00,54.149999999999636,1.0651163832193198,6.1135462983402,False,1331.0,42,0.28,4906.58,-19.999999999999986,-25.206824572953824,-68.0
sumohighteleporttime,1,vehev1,no-preemption,17651,4946.24,219.51,5000.00,53.76000000000022,,,False,,25,0.35,3921.71,,,
sumohighteleporttime,1,vehev1,no-preemption,14368,4833.05,215.62,4887.00,53.94999999999982,,,False,,24,0.35,3937.36,,,
sumohighteleporttime,1,vehev1,no-preemption,32668,4830.67,215.79,4885.00,54.32999999999993,,,False,,25,0.35,3928.90,,,
sumohighteleporttime,1,vehev1,kapustaimp,32668,26207.47,761.40,26262.00,54.529999999998836,-5.425224658277217,-442.5224658277217,False,26262.0,452,0.16,15328.57,-54.285714285714285,-290.1491511619028,-1707.9999999999998
