scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported
sp,2,vehev1,rfid,17651,692.57,1323.92,1419.00,726.43,1.478478709733312,32.36290834513403,False
sp,2,vehev1,rfid,6325,486.27,1083.65,1212.00,725.73,2.6295268060953796,61.97034395382667,False
sp,2,vehev1,no-preemption,16250,1025.11,539.87,1751.00,725.8900000000001,,,False
sp,2,vehev1,allgreen,22760,97.76,893.47,825.00,727.24,10.47545008183306,90.45387079134443,False
sp,2,vehev1,tpn4,27226,118.49,774.92,846.00,727.51,8.663769094438349,88.45767945683197,False
sp,2,vehev1,no-preemption,31737,1007.51,581.19,1734.00,726.49,,,False
sp,2,vehev1,allgreen,16993,110.93,958.63,835.00,724.0699999999999,11.529793563508518,91.3268178264269,False
sp,2,vehev1,allgreen,21907,99.39,948.01,824.00,724.61,10.158164805312406,90.15570214536162,False
sp,2,vehev1,kapusta2,10105,235.45,767.55,962.00,726.55,4.279932045020175,76.63514304710681,False
sp,2,vehev1,kapusta2,14368,219.43,838.85,947.00,727.5699999999999,4.592945358428656,78.22747884067749,False
sp,2,vehev1,allgreen,2094,105.66,772.85,831.00,725.34,9.549593034260837,89.52834957037096,False
sp,2,vehev1,kapusta2,6479,247.08,839.47,973.00,725.92,5.181317791808321,80.69989064208718,False
sp,2,vehev1,allgreen,14368,103.24,970.58,829.00,725.76,9.76201084850833,89.75620888443487,False
sp,2,vehev1,tpn4,21907,117.33,761.87,844.00,726.67,8.604960368192279,88.37879598264693,False
sp,2,vehev1,kapusta2,16993,195.63,740.65,923.00,727.37,6.537852067678782,84.70445660672401,False
sp,2,vehev1,rfid,4771,559.00,1081.88,1284.00,725.0,1.832665474060823,45.43466802022529,False
sp,2,vehev1,rfid,6479,738.66,1310.66,1465.00,726.34,1.7331383857255032,42.3012029370411,False
sp,2,vehev1,kapusta2,6325,284.42,796.32,1010.00,725.5799999999999,4.495675409605513,77.75640123254031,False
sp,2,vehev1,no-preemption,22760,1009.31,593.83,1734.00,724.69,,,False
sp,2,vehev1,fuzzy,27548,759.16,590.46,1281.00,521.84,1.3289556878655355,24.75294630732786,False
sp,2,vehev1,fuzzy,20276,847.13,636.51,1371.00,523.87,1.5287382101920601,34.58657647640228,False
sp,2,vehev1,no-preemption,6325,1007.78,578.56,1735.00,727.22,,,False
sp,2,vehev1,fuzzy,32668,1116.87,693.53,1641.00,524.1300000000001,1.1611020082910277,13.874922887106733,False
sp,2,vehev1,fuzzy,22570,1116.97,707.51,1641.00,524.03,-1.0904928339907056,-9.049283399070562,False
sp,2,vehev1,tpn4,14368,112.56,673.59,839.00,726.44,8.953713574982231,88.83144974846948,False
sp,2,vehev1,tpn4,20276,133.18,753.54,860.00,726.8199999999999,9.723982579966961,89.71614776377564,False
sp,2,vehev1,fuzzy,27226,846.68,650.59,1371.00,524.32,1.2124651580290073,17.523403177571918,False
sp,2,vehev1,allgreen,27548,110.23,776.12,836.00,725.77,9.152590039009343,89.07413097562667,False
sp,2,vehev1,kapusta2,2094,260.32,836.23,987.00,726.6800000000001,3.876037185003073,74.20045391026848,False
sp,2,vehev1,rfid,27548,753.80,1265.76,1481.00,727.2,1.3384054125762803,25.28422325526074,False
sp,2,vehev1,fuzzy,31737,663.88,610.56,1190.00,526.12,1.5192956558414172,34.18002637240613,False
sp,2,vehev1,rfid,15239,421.87,1056.23,1149.00,727.13,2.386303837675113,58.09418799852987,False
sp,2,vehev1,no-preemption,4771,1097.04,592.40,1823.00,725.96,,,False
sp,2,vehev1,kapusta2,4771,256.13,785.25,982.00,725.87,3.9997657439581467,74.9985358139898,False
sp,2,vehev1,rfid,25029,765.70,1204.54,1492.00,726.3,1.6701319054459969,40.12448976400118,False
sp,2,vehev1,allgreen,12811,109.08,980.00,835.00,725.92,9.254400440044005,89.1943296977622,False
sp,2,vehev1,fuzzy,10105,848.29,653.86,1370.00,521.71,1.1879310141578943,15.82002758730191,False
sp,2,vehev1,kapusta2,30366,291.26,823.48,1019.00,727.74,3.4533063242463777,71.04224455911157,False
sp,2,vehev1,tpn4,12811,115.28,753.16,842.00,726.72,8.756679389312977,88.58014601721695,False
sp,2,vehev1,tpn4,2094,116.39,767.32,843.00,726.61,8.669215568347797,88.46493097194279,False
sp,2,vehev1,tpn4,6479,106.48,759.43,833.00,726.52,12.022915101427499,91.68254960162474,False
sp,2,vehev1,fuzzy,14368,1025.42,682.10,1550.00,524.5799999999999,-1.0174533403450978,-1.7453340345097823,False
sp,2,vehev1,fuzzy,16993,757.74,657.27,1281.00,523.26,1.6879140602317417,40.755277560594216,False
sp,2,vehev1,tpn4,22760,119.32,748.23,845.00,725.6800000000001,8.582634931277237,88.34856651824077,False
sp,2,vehev1,rfid,10105,462.51,1180.84,1190.00,727.49,2.1787853235605716,54.102866896230076,False
sp,2,vehev1,allgreen,16250,107.23,953.78,833.00,725.77,9.387857875594516,89.3479427016073,False
sp,2,vehev1,tpn4,30616,111.87,772.02,838.00,726.13,9.168320371860196,89.09287678177954,False
sp,2,vehev1,kapusta2,24847,236.40,812.32,964.00,727.6,4.324450084602368,76.8756725031791,False
sp,2,vehev1,no-preemption,20276,1008.74,572.76,1734.00,725.26,,,False
sp,2,vehev1,no-preemption,30616,1009.89,596.07,1735.00,725.11,,,False
sp,2,vehev1,fuzzy,6325,845.35,617.96,1371.00,525.65,1.5125805879221625,33.88782006162702,False
sp,2,vehev1,kapusta2,27226,281.34,773.99,1009.00,727.6600000000001,3.648859031776498,72.59417282796107,False
sp,2,vehev1,allgreen,22570,100.06,960.64,827.00,726.94,10.236658005196881,90.23118678486351,False
sp,2,vehev1,allgreen,17651,102.45,940.98,829.00,726.55,9.994631527574427,89.99462864397675,False
sp,2,vehev1,no-preemption,22737,1025.88,592.38,1752.00,726.1199999999999,,,False
sp,2,vehev1,kapusta2,21907,202.82,819.09,930.00,727.1800000000001,4.9779114485750915,79.91125373903053,False
sp,2,vehev1,no-preemption,11718,1008.11,455.73,1734.00,725.89,,,False
sp,2,vehev1,allgreen,30616,100.03,900.30,828.00,727.97,10.253523942817155,90.24725542577463,False
sp,2,vehev1,allgreen,10105,99.23,926.75,827.00,727.77,10.155295777486646,90.15292097924998,False
sp,2,vehev1,tpn4,31737,144.62,739.55,871.00,726.38,6.9743465634075505,85.66173919078354,False
sp,2,vehev1,kapusta2,25029,211.34,807.26,938.00,726.66,6.051007854641809,83.47382743466633,False
sp,2,vehev1,rfid,12811,557.96,1182.18,1285.00,727.04,1.809215714388128,44.72743122628706,False
sp,2,vehev1,allgreen,24847,100.60,934.08,826.00,725.4,10.162027833001988,90.15944439010075,False
sp,2,vehev1,fuzzy,30366,755.82,618.81,1280.00,524.18,1.330753353973168,24.854594804187656,False
sp,2,vehev1,tpn4,30366,106.63,739.64,834.00,727.37,9.432711244490294,89.3985941678846,False
sp,2,vehev1,no-preemption,16993,1008.30,575.80,1734.00,725.7,,,False
sp,2,vehev1,tpn4,32668,120.05,724.09,845.00,724.95,10.80216576426489,90.74259716224553,False
sp,2,vehev1,kapusta2,16250,231.85,824.95,959.00,727.15,4.341858960534829,76.9683905191425,False
sp,2,vehev1,fuzzy,2094,1115.42,697.16,1640.00,524.5799999999999,-1.1054598071376895,-10.545980713768955,False
sp,2,vehev1,allgreen,4771,105.83,903.33,831.00,725.17,9.680241897382595,89.66967963610098,False
sp,2,vehev1,allgreen,15239,102.18,902.36,831.00,728.8199999999999,9.852319436288901,89.8501057901481,False
sp,2,vehev1,tpn4,16250,117.98,779.46,844.00,726.02,8.532463129343956,88.28005483480023,False
sp,2,vehev1,allgreen,20276,100.36,949.40,827.00,726.64,12.903945795137505,92.25043241907585,False
sp,2,vehev1,fuzzy,22737,845.40,671.93,1370.00,524.6,1.191329548142891,16.06016978602989,False
sp,2,vehev1,no-preemption,21907,1007.55,612.88,1734.00,726.45,,,False
