scenario,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported
augmented-downtown,vehev7,kapusta2,31737,6968.81,43993.59,7618.00,649.1899999999996,1.1768809882892486,15.029641063908116,False
augmented-downtown,vehev2,rfid,30616,705.11,15187.69,1200.00,494.89,1.4138645034108153,29.271864624396894,False
augmented-downtown,vehev1,fuzzy,6479,26108.32,107819.17,26737.00,628.6800000000003,-1.0682583690397085,-6.82583690397085,False
augmented-downtown,vehev3,no-preemption,32668,12144.55,85632.65,12806.00,661.4500000000007,,,False
augmented-downtown,vehev2,rfid,16993,534.00,15150.57,1029.00,495.0,1.7056179775280897,41.370223978919626,False
augmented-downtown,vehev2,tpn3,21907,209.05,12114.92,704.00,494.95,5.209088734752451,80.80278430796356,False
augmented-downtown,vehev1,rfid,2094,26330.00,88490.74,27208.00,878.0,-1.0208552231109527,-2.085522311095267,False
augmented-downtown,vehev1,no-preemption,6479,24440.08,86930.84,25318.00,877.9199999999983,,,False
augmented-downtown,vehev2,tpn3,17651,245.70,9883.08,741.00,495.3,4.472161172161172,77.63944631009912,False
augmented-downtown,vehev3,tpn4,30616,1129.39,41433.75,1791.00,661.6099999999999,11.231009660081991,91.09608102685311,False
augmented-downtown,vehev7,rfid,32668,8781.95,38343.81,9431.00,649.0499999999993,-1.1294415264395254,-12.944152643952545,False
augmented-downtown,vehev1,rfid,24847,27879.49,89978.43,28758.00,878.5099999999984,-1.0039149076529028,-0.39149076529028104,False
augmented-downtown,vehev2,kapusta2,11718,4402.81,31074.84,4898.00,495.1899999999996,-4.020720893491503,-302.0720893491503,False
augmented-downtown,vehev7,rfid,11718,8167.26,54490.33,8817.00,649.7399999999998,-1.0626580046814276,-6.265800468142757,False
augmented-downtown,vehev2,fuzzy,30616,1329.15,29168.15,1678.00,348.8499999999999,-1.3332430561824804,-33.32430561824804,False
augmented-downtown,vehev1,fuzzy,21907,27464.05,109255.92,28095.00,630.9500000000007,1.0144359626493544,1.423053123200868,False
