scenario,ev,step,lon,lat
sp,vehev1,1851,-46.62317544911343,-23.567592633238828
sp,vehev1,1852,-46.6232304890384,-23.567584993007255
sp,vehev1,1853,-46.623278822890995,-23.56761943041924
sp,vehev1,1854,-46.623292701275574,-23.56767500874112
sp,vehev1,1855,-46.62330648658933,-23.56774961727766
sp,vehev1,1856,-46.62332241644003,-23.567835832298098
sp,vehev1,1857,-46.62334108290401,-23.56793685815551
sp,vehev1,1858,-46.62336203213452,-23.56805023848506
sp,vehev1,1859,-46.62338788211012,-23.568186853247
sp,vehev1,1860,-46.62342169585921,-23.568345090675308
sp,vehev1,1861,-46.6234906127449,-23.568513885839
sp,vehev1,1862,-46.62353320368224,-23.568708420076206
sp,vehev1,1863,-46.623576195694,-23.568904785534237
sp,vehev1,1864,-46.6236162414451,-23.569091034468148
sp,vehev1,1865,-46.6236541599999,-23.569278502658147
sp,vehev1,1866,-46.62369187452812,-23.56946777932507
sp,vehev1,1867,-46.62372981962245,-23.5696582124728
sp,vehev1,1868,-46.62376864238709,-23.56985304966189
sp,vehev1,1869,-46.623801617935364,-23.57001854128155
sp,vehev1,1870,-46.623826630453124,-23.570144069177218
sp,vehev1,1871,-46.623844139719154,-23.570231941062026
sp,vehev1,1872,-46.62388117266561,-23.57027512093814
sp,vehev1,1873,-46.62393903239923,-23.570270398695104
sp,vehev1,1874,-46.62401757607476,-23.570255702615476
sp,vehev1,1875,-46.62411037470101,-23.570238165304644
sp,vehev1,1876,-46.624223445428626,-23.570216796842313
sp,vehev1,1877,-46.62435252402887,-23.57019310152213
sp,vehev1,1878,-46.624485806162646,-23.570170745431692
sp,vehev1,1879,-46.624608359494694,-23.570151597416626
sp,vehev1,1880,-46.62473241219449,-23.57013221503374
sp,vehev1,1881,-46.62482615573593,-23.570117568179974
sp,vehev1,1882,-46.624876436400626,-23.57010971210989
sp,vehev1,1883,-46.62494147659705,-23.570103760304015
sp,vehev1,1884,-46.62503116058129,-23.570098077951467
sp,vehev1,1885,-46.62513778628908,-23.570078342347866
sp,vehev1,1886,-46.625258220743525,-23.57005597192061
sp,vehev1,1887,-46.625379775236084,-23.570033393347572
sp,vehev1,1888,-46.62547215365257,-23.570016234120892
sp,vehev1,1889,-46.62552492193761,-23.570006432422247
sp,vehev1,1890,-46.62559241594876,-23.569993877608532
sp,vehev1,1891,-46.62568120583121,-23.569977355160095
sp,vehev1,1892,-46.625792115459824,-23.569956758444146
sp,vehev1,1893,-46.62590766784618,-23.569915283142308
sp,vehev1,1894,-46.62600857135492,-23.569836244427
sp,vehev1,1895,-46.626110545218886,-23.569757235312892
sp,vehev1,1896,-46.626211511389386,-23.56967900680312
sp,vehev1,1897,-46.626310351973856,-23.569602037979955
sp,vehev1,1898,-46.62640475293763,-23.569522496580134
sp,vehev1,1899,-46.626501429533505,-23.56943516414202
sp,vehev1,1900,-46.62659257230378,-23.56935249778128
sp,vehev1,1901,-46.62668123829916,-23.569272077706255
sp,vehev1,1902,-46.626777482008436,-23.56918988607176
sp,vehev1,1903,-46.62685992510501,-23.569127089650777
sp,vehev1,1904,-46.626910683529644,-23.569093153531394
sp,vehev1,1905,-46.62697237855047,-23.569092285481616
sp,vehev1,1906,-46.62701606617319,-23.569144021849255
sp,vehev1,1907,-46.62705592453423,-23.56921390259746
sp,vehev1,1908,-46.627105890642326,-23.569301504391625
