scenario,ev,step,lon,lat
augmented,vehev1,25259,-46.641010550201216,-23.626601888800774
augmented,vehev1,25260,-46.64098300224251,-23.62648100766724
augmented,vehev1,25261,-46.6409567349875,-23.62636574604954
augmented,vehev1,25262,-46.640929856779266,-23.626248200099916
augmented,vehev1,25263,-46.64090227201399,-23.626134578098114
augmented,vehev1,25264,-46.640838826345245,-23.62602961135241
augmented,vehev1,25265,-46.64080457110407,-23.625914853636395
augmented,vehev1,25266,-46.64076817512077,-23.62579619139418
augmented,vehev1,25267,-46.6407331266817,-23.625681922330667
augmented,vehev1,25268,-46.64069851635733,-23.625567170450992
augmented,vehev1,25269,-46.64067048730389,-23.625454837722412
augmented,vehev1,25270,-46.64064465426592,-23.625343444762137
augmented,vehev1,25271,-46.640618688835005,-23.62523148069504
augmented,vehev1,25272,-46.64059264542232,-23.625118615802926
augmented,vehev1,25273,-46.64056642300254,-23.625004961469774
augmented,vehev1,25274,-46.64053918215154,-23.62488689276348
augmented,vehev1,25275,-46.640512114508255,-23.624769574535744
augmented,vehev1,25276,-46.64048609906856,-23.62465681660052
augmented,vehev1,25277,-46.64046039450218,-23.624545405850462
augmented,vehev1,25278,-46.64043439174238,-23.624432702420872
augmented,vehev1,25279,-46.6404082041856,-23.624319197798147
augmented,vehev1,25280,-46.64038276725402,-23.62420598463713
augmented,vehev1,25281,-46.64035753738921,-23.62409123830888
augmented,vehev1,25282,-46.64033070125343,-23.623968741793952
augmented,vehev1,25283,-46.64030536788292,-23.623853129074494
augmented,vehev1,25284,-46.64028058754973,-23.623739323137613
augmented,vehev1,25285,-46.640255401988085,-23.623621129021355
augmented,vehev1,25286,-46.6402305086062,-23.623504305837265
augmented,vehev1,25287,-46.64020492335897,-23.623384235513115
augmented,vehev1,25288,-46.64018048181228,-23.623269532277412
augmented,vehev1,25289,-46.64015557391885,-23.62315264025035
augmented,vehev1,25290,-46.64013013643663,-23.623033262624112
augmented,vehev1,25291,-46.64010395639128,-23.622916321295833
augmented,vehev1,25292,-46.64007902924473,-23.622800691389948
augmented,vehev1,25293,-46.64005546373321,-23.622689071548933
augmented,vehev1,25294,-46.64003026447027,-23.62257138309714
augmented,vehev1,25295,-46.64000570846512,-23.622458766973157
augmented,vehev1,25296,-46.63998114971102,-23.62234616454181
augmented,vehev1,25297,-46.63995519417755,-23.622229290381053
augmented,vehev1,25298,-46.63992885549492,-23.6221113247609
augmented,vehev1,25299,-46.63990367524116,-23.621998395291754
augmented,vehev1,25300,-46.6398769072394,-23.621878344772018
augmented,vehev1,25301,-46.63985197604348,-23.6217665318214
augmented,vehev1,25302,-46.63982588506819,-23.621649790545387
augmented,vehev1,25303,-46.63979961384803,-23.621532419644147
augmented,vehev1,25304,-46.63977470364783,-23.621419848216885
augmented,vehev1,25305,-46.639750374375176,-23.62130704439888
