scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime,n_teleported
augmented-downtown,1,vehev7,fuzzy,22737,6907.70,85532.75,7371.00,463.3000000000002,-1.0650366642614417,-6.503666426144172,False,36.81395348837209,226618
augmented-downtown,1,vehev3,kapusta2,2094,12754.76,88952.36,13417.00,662.2399999999998,-1.0050216570286257,-0.502165702862567,False,3059.6521739130435,249188
augmented-downtown,1,vehev1,kapusta2,2094,30437.97,71435.22,31316.00,878.0299999999988,-1.1801276359815605,-18.012763598156045,False,11035.709090909091,266608
augmented-downtown,1,vehev2,tpn4,27548,239.53,15947.54,735.00,495.47,4.180895921178975,76.08168156173548,False,282.6,76861
augmented-downtown,1,vehev2,tpn6,11718,224.17,36036.30,719.00,494.83000000000004,4.884819556586519,79.52841474662794,False,235.66666666666666,75710
augmented-downtown,1,vehev2,no-preemption,32668,1089.38,14124.62,1585.00,495.6199999999999,,,False,,114739
augmented-downtown,1,vehev2,tpn6,16993,217.27,39467.19,713.00,495.73,4.192019146683849,76.14514712340798,False,227.46666666666667,75909
augmented-downtown,1,vehev2,tpn6,22760,228.58,35977.49,724.00,495.41999999999996,5.157012862017674,80.60892949549962,False,228.86666666666667,76131
augmented-downtown,1,vehev2,tpn6,16250,235.18,40795.25,730.00,494.82,4.625180712645633,78.37922316708803,False,233.86666666666667,76499
augmented-downtown,1,vehev1,rfid,27548,31614.37,119481.45,32493.00,878.630000000001,-1.106148650587217,-10.61486505872169,False,230.0909090909091,267098
augmented-downtown,1,vehev1,fuzzy,31737,25951.78,107278.69,26581.00,629.2200000000012,-1.0056315378519711,-0.5631537851971125,False,47.549019607843135,264589
augmented-downtown,1,vehev2,tpn4,11718,229.43,39486.29,725.00,495.57,4.772828313646864,79.0480626101568,False,247.0,75953
augmented-downtown,1,vehev7,tpn4,20276,6095.59,40522.92,6744.00,648.4099999999999,1.1801581143088693,15.265591290229308,False,1712.7441860465117,222260
augmented-downtown,1,vehev1,tpn6,22737,25992.75,148056.83,26871.00,878.25,,,False,6505.927272727273,266483
augmented-downtown,1,vehev3,rfid,22737,11695.82,103650.92,12357.00,661.1800000000003,-1.0400907069808805,-4.009070698088046,False,149.2173913043478,244457
augmented-downtown,1,vehev3,kapustaimp,17651,234.15,23804.00,896.00,661.85,50.71249199231262,98.0280992696009,False,75.8695652173913,84623
augmented-downtown,1,vehev3,rfid,10105,14412.02,80378.18,15074.00,661.9799999999996,-1.0470427549130008,-4.704275491300081,False,149.34782608695653,252832
augmented-downtown,1,vehev3,tpn6,31737,1241.87,37596.41,1904.00,662.1300000000001,10.636056914169762,90.59801947216208,False,281.2173913043478,125387
augmented-downtown,1,vehev7,fuzzy,16250,7089.30,74973.97,7551.00,461.6999999999998,1.0564019014571255,5.339057169371686,False,36.74418604651163,226838
augmented-downtown,1,vehev3,allgreen,16993,1138.50,39886.68,1800.00,661.5,11.364830917874396,91.20092496556884,False,1802.6521739130435,122733
augmented-downtown,1,vehev7,tpn4,30616,11155.78,50611.22,11805.00,649.2199999999993,1.113045434743245,10.156407925011813,False,3316.813953488372,248639
augmented-downtown,1,vehev7,allgreen,25029,4839.84,40189.45,5488.00,648.1599999999999,1.456928328209197,31.3624438046885,False,5492.093023255814,213936
augmented-downtown,1,vehev3,tpn4,31737,998.63,40602.01,1660.00,661.37,13.226720607231908,92.4395469618279,False,467.1304347826087,116625
augmented-downtown,1,vehev2,allgreen,27548,234.54,16488.40,730.00,495.46000000000004,4.269847360791337,76.57995905936392,False,732.6,77201
augmented-downtown,1,vehev1,rfid,15239,28149.42,106332.96,29028.00,878.5800000000017,1.0088872168591752,0.880892998807381,False,230.07272727272726,266013
augmented-downtown,1,vehev3,allgreen,17651,1222.40,36447.72,1884.00,661.5999999999999,9.713947971204188,89.7055244380104,False,1886.9565217391305,124940
augmented-downtown,1,vehev1,no-preemption,4771,25895.39,100978.48,26773.00,877.6100000000006,,,False,,264688
augmented-downtown,1,vehev7,kapustaimp,20276,6014.56,48223.20,6664.00,649.4399999999996,1.1960575669708173,16.391984164053287,False,700.7209302325581,221570
augmented-downtown,1,vehev2,kapustaimp,10105,347.38,22175.35,843.00,495.62,2.873539063849387,65.19970747638273,False,129.46666666666667,82139
augmented-downtown,1,vehev3,kapusta2,10105,13959.64,91917.94,14621.00,661.3600000000006,-1.0141770496567255,-1.4177049656725504,False,3330.1739130434785,250618
augmented-downtown,1,vehev3,fuzzy,31737,11797.26,42272.90,12265.00,467.7399999999998,1.1196328639022959,10.685008252199324,False,29.894736842105264,243952
augmented-downtown,1,vehev1,kapusta2,4771,28063.92,101058.35,28942.00,878.0800000000017,-1.0837419324443462,-8.374193244434625,False,8717.745454545455,265965
augmented-downtown,1,vehev1,rfid,25029,27663.73,96065.20,28541.00,877.2700000000004,1.013607347960669,1.3424673753644756,False,230.07272727272726,264037
augmented-downtown,1,vehev7,rfid,21907,8790.94,50417.90,9440.00,649.0599999999995,-1.1789143078608681,-17.891430786086815,False,184.06976744186048,240046
augmented-downtown,1,vehev7,no-preemption,27226,7478.84,81893.77,8128.00,649.1599999999999,,,False,,231255
augmented-downtown,1,vehev1,kapustaimp,2094,24273.12,113531.68,25151.00,877.880000000001,1.0625786878654249,5.889322699586308,False,2529.1272727272726,265843
augmented-downtown,1,vehev1,allgreen,12811,25431.69,65790.17,26310.00,878.3100000000013,1.1025979791354803,9.30511220562229,False,26311.254545454547,266409
augmented-downtown,1,vehev1,fuzzy,10105,23529.94,110845.48,24159.00,629.0600000000013,1.0049600636465712,0.49355828415442726,False,46.62264150943396,264260
augmented-downtown,1,vehev7,kapusta2,27548,7661.34,92233.91,8310.00,648.6599999999999,-1.0000078315894994,-0.0007831589499351921,False,3296.906976744186,233868
augmented-downtown,1,vehev2,rfid,30366,841.48,15922.13,1337.00,495.52,1.2943623140181586,22.741879211884175,False,142.0,103898
