scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime,n_teleported,avg_trip_speed,avg_trip_timeloss,avg_trip_speed_perc,avg_trip_timeloss_perc,teleported_perc
cologne,2,vehev2,kapustaimp,22570,100.55,1842.74,464.00,363.45,26.15067130780706,96.17600638916883,False,98.88888888888889,6640,5.29,915.88,31.592039800995032,45.40241190812574,81.85048517151839
cologne,2,vehev2,fuzzy,22570,1743.43,63384.75,1986.00,242.56999999999994,1.5082050899663306,33.696020080244914,False,40.74074074074074,22776,4.53,1314.96,12.68656716417913,21.612389792013165,37.744977449774495
cologne,2,vehev4,kapustaimp,4771,122.22,22279.68,653.00,530.78,12.137784323351333,91.76126405479009,False,75.34615384615384,6688,6.67,1170.30,12.668918918918926,23.393642647674916,64.29067221955256
cologne,2,vehev6,fuzzy,11718,762.97,25303.14,1068.00,305.03,1.4987745258660234,33.27882328249615,False,44.291666666666664,9701,6.42,1276.62,4.390243902439028,9.693347009514387,33.84027825138103
cologne,2,vehev1,fuzzy,16250,7422.63,66689.90,7777.00,354.3699999999999,1.2353734458002081,19.05281731612306,False,40.53846153846154,82759,3.25,3866.55,1.8808777429467183,14.477103871428653,8.138437801778197
cologne,2,vehev5,kapustaimp,30616,152.08,16099.87,516.00,363.91999999999996,21.82160704892162,95.41738609004318,False,112.07407407407408,5761,6.75,1134.71,35.54216867469879,48.04607910918607,84.85660962594959
cologne,2,vehev3,rfid,30366,2018.56,16720.23,2476.00,457.44000000000005,1.9460357878883958,48.61348356367691,False,221.45833333333334,29169,4.28,1474.61,17.906336088154283,37.03010970334406,46.47300620251771
cologne,2,vehev4,tpnx,22760,315.96,21697.62,847.00,531.04,3.182649702493987,68.57963981344287,False,175.26923076923077,8208,6.54,1222.37,5.825242718446599,12.813654584100087,41.04295359862089
cologne,2,vehev5,no-preemption,20276,2746.24,64874.00,3110.00,363.7600000000002,,,False,,30338,5.37,1859.40,,,
cologne,2,vehev5,fuzzy,21907,1473.07,35946.49,1716.00,242.93000000000006,1.6797911843972113,40.46879104447453,False,40.74074074074074,15753,6.09,1447.67,9.927797833935003,17.08600851093076,42.393768741315
