scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported
sp,1,veh11651,petri_lc!True,22737,101.37,,902.00,800.63,10.116799842162374,90.11545137196013,False
sp,1,veh11651,no-preemption,20395,1009.73,,1752.00,742.27,,,False
sp,1,veh11651,no-preemption,21866,1101.70,,1824.00,722.3,,,False
sp,1,veh11651,rfid_dd!250_nc!2,24847,977.51,,1622.00,644.49,1.0461376354206096,4.410283490284661,False
sp,1,veh11651,petri_lc!False,10280,113.16,,895.00,781.84,9.23161894662425,89.16766381084574,False
sp,1,veh11651,djahel_wc!start_el!low,10105,863.32,,1645.00,781.68,1.2095514988648473,17.324727311033005,False
sp,1,veh11651,djahel_wc!start_el!high,15239,725.29,,1281.00,555.71,1.4518192722910837,31.120903332415317,False
sp,1,veh11651,rfid_dd!1000_nc!2,17651,464.83,,1091.00,626.1700000000001,2.2342791988468904,55.24283623478663,False
sp,1,veh11651,petri_lc!True,2646,101.23,,841.00,739.77,9.821396819124764,89.81814890064574,False
sp,1,veh11651,no-preemption,27548,1311.93,,2188.00,876.0699999999999,,,False
sp,1,veh11651,petri_lc!True,10079,113.37,,766.00,652.63,8.94398870953515,88.81930610071205,False
sp,1,veh11651,petri_lc!False,19226,102.30,,935.00,832.7,9.89090909090909,89.88970588235294,False
sp,1,veh11651,djahel_wc!start_el!low,29914,364.68,,1103.00,738.3199999999999,2.7326423165514973,63.40538262387862,False
sp,1,veh11651,djahel_wc!start_el!medium,5224,958.13,,1644.00,685.87,1.0934633087368104,8.547457238851564,False
sp,1,veh11651,djahel_wc!start_el!high,21866,1037.32,,1556.00,518.6800000000001,1.0620637797400996,5.8436961060179815,False
sp,1,veh11651,djahel_wc!start_el!high,11340,806.21,,1305.00,498.78999999999996,1.2969697721437343,22.897200730659996,False
sp,1,veh11651,rfid_dd!1000_nc!2,25029,504.48,,1076.00,571.52,2.164803361877577,53.80642798278545,False
sp,1,veh11651,rfid_dd!1000_nc!2,21907,278.72,,1131.00,852.28,3.8196756601607342,73.81976667731209,False
sp,1,veh11651,djahel_wc!start_el!high,7324,615.21,,1100.00,484.78999999999996,1.6326132540108254,38.74850657108722,False
sp,1,veh11651,rfid_dd!1000_nc!5,12087,320.02,,1080.00,759.98,3.3292294231610526,69.96301927878208,False
sp,1,veh11651,kapusta2,227,200.50,,851.00,650.5,5.554364089775562,81.99613882278993,False
sp,1,veh11651,kapusta2,25029,155.17,,726.00,570.83,7.038087259135142,85.79159417635748,False
sp,1,veh11651,kapusta2,11718,151.22,,822.00,670.78,6.664726887977781,84.99563422765519,False
