scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime
turinkap,1,vehev1,rfid,14368,4195.00,16715.22,4939.00,744.0,1.1685005959475565,14.420240480144264,False,265.1714285714286
turinkap,1,vehev5,kapusta2,10105,1063.05,19349.04,1905.00,841.95,-1.5975624417661027,-59.756244176610274,False,586.8947368421053
turinkap,1,vehev2,rfid,21907,557.56,7325.26,1399.00,841.44,1.5332161561087598,34.77762440633555,False,211.31578947368422
turinkap,1,vehev6,no-preemption,27226,4469.47,28062.30,5463.00,993.5299999999997,,,False,
turinkap,1,vehev5,kapusta2,17651,770.18,15600.76,1613.00,842.82,1.3826248409462722,27.673800557814566,False,523.6315789473684
turinkap,1,vehev1,kapusta2,32668,4736.57,19866.14,5481.00,744.4300000000003,1.0574973029006223,5.437111068076694,False,1515.8857142857144
turinkap,1,vehev1,no-preemption,30366,4894.79,19900.93,5639.00,744.21,,,False,
turinkap,1,vehev3,allgreen,24847,8454.85,53212.69,9450.00,995.1499999999996,1.4038746991371815,28.768571681319,False,9453.272727272728
turinkap,1,vehev4,fuzzy,10105,5216.98,46936.16,5713.00,496.02000000000044,-1.0419185594826534,-4.191855948265344,False,52.09375
turinkap,1,vehev1,no-preemption,25029,4270.00,15447.31,5015.00,745.0,,,False,
turinkap,1,vehev4,fuzzy,27548,5729.68,32530.80,6226.00,496.3199999999997,-1.4494657168299199,-44.94657168299199,False,53.14705882352941
turinkap,1,vehev1,allgreen,6479,1353.01,11754.65,2097.00,743.99,,,False,2100.6285714285714
turinkap,1,vehev2,fuzzy,6479,2270.03,12374.07,2832.00,561.9699999999998,-2.659422666885354,-165.94226668853537,False,41.78947368421053
turinkap,1,vehev2,kapusta2,6325,682.45,8548.44,1524.00,841.55,-1.0045188259884013,-0.4518825988401254,False,448.1578947368421
turinkap,1,vehev4,allgreen,12811,2480.94,24588.16,3226.00,745.06,1.9767467169701805,49.41182947642729,False,3229.285714285714
turinkap,1,vehev2,rfid,15239,725.44,6615.28,1567.00,841.56,1.1861353109836787,15.692586609643566,False,211.31578947368422
turinkap,1,vehev4,kapusta2,11718,1943.30,26591.58,2687.00,743.7,2.8491689394329236,64.90204613142272,False,860.0
