scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime,n_teleported
cologne,2,vehev3,rfid,31737,6828.41,42962.84,7286.00,457.59000000000015,-2.2344492910597946,-123.44492910597947,False,221.45833333333334,49403
cologne,2,vehev2,kapustaimp,30616,53.30,4243.09,417.00,363.7,37.05590994371482,97.30137513417179,False,81.03703703703704,2463
cologne,2,vehev6,fuzzy,2094,2486.98,13583.22,2792.00,305.02,3.393589815760481,70.53267913064187,False,44.291666666666664,16184
cologne,2,vehev6,rfid,24847,8706.80,32754.97,9164.00,457.2000000000007,-1.7128849997639244,-71.28849997639244,False,221.45833333333334,59183
cologne,2,vehev4,allgreen,22737,453.48,6796.00,985.00,531.52,1.6116256505248303,37.9508510754748,False,988.4230769230769,4238
cologne,2,vehev2,no-preemption,11718,1102.71,9030.07,1466.00,363.28999999999996,,,False,,6993
cologne,2,vehev5,rfid,25029,1666.27,8123.12,2030.00,363.73,1.467619293391827,31.862438406019333,False,203.7037037037037,10149
cologne,2,vehev2,no-preemption,16993,912.45,8125.29,1276.00,363.54999999999995,,,False,,5963
cologne,2,vehev4,no-preemption,25029,739.97,5199.86,1271.00,531.03,,,False,,5594
cologne,2,vehev5,no-preemption,30616,1200.37,7808.93,1564.00,363.6300000000001,,,False,,6948
cologne,2,vehev2,no-preemption,21907,1200.18,9606.94,1564.00,363.81999999999994,,,False,,7508
cologne,2,vehev1,rfid,16993,64083.60,106577.08,64615.00,531.4000000000015,-1.8236544403121098,-82.36544403121098,False,202.69230769230768,104513
cologne,2,vehev2,kapusta2,22760,813.73,7842.91,1177.00,363.27,,,False,387.44444444444446,5608
cologne,2,vehev1,kapusta2,12811,23160.00,80423.95,23691.00,531.0,-1.9444243882535275,-94.44243882535275,False,4218.615384615385,94262
cologne,2,vehev6,rfid,21907,7788.24,41935.13,8245.00,456.7600000000002,1.4411921050198762,30.61299763460691,False,221.45833333333334,54159
cologne,2,vehev1,kapustaimp,4771,2837.53,18210.09,3369.00,531.4699999999998,15.788678886214417,93.66634784831092,False,493.6923076923077,22682
cologne,2,vehev1,fuzzy,17651,11328.98,44888.86,11684.00,355.02000000000044,3.4830646713119804,71.28965166118131,False,40.53846153846154,67658
cologne,2,vehev4,no-preemption,31737,730.39,6581.76,1262.00,531.61,,,False,,5545
cologne,2,vehev3,kapustaimp,6325,5110.50,24455.49,5568.00,457.5,1.5023931122199392,33.439524458255946,False,503.2916666666667,39640
cologne,2,vehev5,kapustaimp,4771,262.97,4114.20,627.00,364.03,11.09997338099403,90.99096938635678,False,151.22222222222223,2702
cologne,2,vehev2,kapustaimp,14368,56.71,3702.50,420.00,363.29,19.475753835302417,94.86541055891061,False,81.29629629629629,2350
cologne,2,vehev5,tpn4,31737,31.68,3284.40,395.00,363.32,1410.6524621212122,99.92911081738048,False,130.74074074074073,2007
cologne,2,vehev3,kapusta2,4771,6574.23,26632.92,7031.00,456.77000000000044,-3.4386206247254005,-243.86206247254006,False,2674.5416666666665,47616
cologne,2,vehev5,no-preemption,32668,20214.50,40036.57,20578.00,363.5,,,False,,94130
cologne,2,vehev2,kapusta2,16250,781.27,6929.19,1145.00,363.73,2.0231546072420548,50.57224018271196,False,373.25925925925924,5562
cologne,2,vehev4,allgreen,32668,448.90,5612.30,980.00,531.1,1.4084651370015595,29.000727548793225,False,983.4230769230769,4233
cologne,2,vehev4,rfid,30616,548.66,6564.38,1080.00,531.34,1.157274085954872,13.590046460351225,False,202.69230769230768,4590
cologne,2,vehev6,allgreen,2094,215.37,4301.91,673.00,457.63,39.18739843060779,97.44815925514735,False,676.3333333333334,2957
cologne,2,vehev1,no-preemption,10105,16134.60,60413.61,16666.00,531.3999999999996,,,False,,81234
cologne,2,vehev6,kapustaimp,24847,132.93,3808.41,590.00,457.07,38.23907319641916,97.38487385700121,False,92.04166666666667,2593
cologne,2,vehev2,allgreen,32668,61.02,4238.78,425.00,363.98,16.452802359882007,93.92200806813088,False,427.962962962963,2635
cologne,2,vehev3,tpn4,20276,2175.84,15272.90,2633.00,457.15999999999985,1.1005312890653725,9.13479608114992,False,906.75,16082
cologne,2,vehev5,fuzzy,16993,725.45,5438.18,968.00,242.54999999999995,3.90600317044593,74.39838227561309,False,40.74074074074074,3925
cologne,2,vehev1,allgreen,32668,1087.18,10546.91,1619.00,531.8199999999999,28.177127982486798,96.45102225953781,False,1622.6153846153845,8629
cologne,2,vehev1,tpn4,10105,3133.09,19374.54,3665.00,531.9099999999999,5.149740352176286,80.5815452505795,False,1011.5,24878
cologne,2,vehev5,rfid,17651,2211.57,14716.13,2575.00,363.42999999999984,-1.3077700904736564,-30.777009047365645,False,203.7037037037037,14729
cologne,2,vehev1,fuzzy,24847,24083.90,73588.40,24439.00,355.09999999999854,1.0645609722677805,6.064563134439305,False,40.53846153846154,92655
cologne,2,vehev3,allgreen,22570,16953.00,42285.61,17410.00,457.0,-3.936516045140017,-293.65160451400175,False,17413.333333333332,86745
cologne,2,vehev3,tpn4,6479,1220.42,10437.25,1678.00,457.5799999999999,9.904647580341193,89.90372961896387,False,784.7083333333334,8917
cologne,2,vehev6,allgreen,27548,24.53,3527.58,482.00,457.47,277.8467183041174,99.64008932475299,False,485.3333333333333,2147
cologne,2,vehev6,tpn4,12811,41.37,5566.34,499.00,457.63,173.8462654097172,99.42477913020265,False,147.125,2302
cologne,2,vehev6,no-preemption,6479,5847.91,23393.59,6305.00,457.09000000000015,,,False,,43406
cologne,2,vehev3,allgreen,14368,6998.20,22357.26,7455.00,456.8000000000002,-2.50730889392072,-150.73088939207202,False,7456.041666666667,50360
cologne,2,vehev4,allgreen,24847,483.82,5622.49,1015.00,531.1800000000001,1.7089620106651235,41.48494853839363,False,1017.1538461538462,4507
cologne,2,vehev4,no-preemption,4771,619.83,5735.42,1151.00,531.17,,,False,,4965
cologne,2,vehev2,fuzzy,15239,2553.13,12116.21,2796.00,242.8699999999999,,,False,40.74074074074074,17434
cologne,2,vehev6,fuzzy,32668,2253.92,12767.47,2559.00,305.0799999999999,-1.3065521219182767,-30.655212191827673,False,44.291666666666664,14413
cologne,2,vehev1,rfid,11718,48865.96,107601.67,49397.00,531.0400000000009,-1.1161851316508387,-11.618513165083865,False,202.69230769230768,109083
cologne,2,vehev5,kapustaimp,31737,154.04,4745.79,518.00,363.96000000000004,290.11600882887564,99.65531030016692,False,116.29629629629629,2378
cologne,2,vehev6,kapustaimp,10105,227.34,4229.49,685.00,457.65999999999997,25.358141989970967,96.05649341187736,False,104.5,2958
cologne,2,vehev6,tpn4,16993,25.87,3637.50,483.00,457.13,270.5875531503672,99.63043385094498,False,159.29166666666666,2273
cologne,2,vehev3,kapustaimp,27548,2498.84,16922.98,2956.00,457.15999999999985,3.3791279153527234,70.4065656864719,False,429.9166666666667,18369
cologne,2,vehev5,kapustaimp,22570,163.64,3744.57,527.00,363.36,15.523649474456125,93.55821579425971,False,118.11111111111111,2311
cologne,2,vehev2,kapusta2,17651,796.12,9109.56,1160.00,363.88,1.2673466311611314,21.09498889946083,False,435.7037037037037,5520
cologne,2,vehev5,tpn4,10105,63.61,3371.29,427.00,363.39,416.6646753655086,99.75999885300504,False,120.22222222222223,2154
cologne,2,vehev5,no-preemption,27548,2923.51,15335.08,3287.00,363.4899999999998,,,False,,20543
cologne,2,vehev1,fuzzy,15239,9971.34,45293.38,10326.00,354.65999999999985,1.2329897486195436,18.89632487864551,False,40.53846153846154,63175
cologne,2,vehev6,kapusta2,31737,66.74,3784.61,524.00,457.26,44.503446209169915,97.7529830042826,False,188.41666666666666,2480
cologne,2,vehev3,kapusta2,16993,6406.34,28413.69,6864.00,457.65999999999985,-2.0182534181841096,-101.82534181841096,False,2714.125,47483
cologne,2,vehev1,tpn4,11718,1507.41,12323.00,2039.00,531.5899999999999,29.04282179367259,96.55680840138659,False,747.8076923076923,10988
cologne,2,vehev4,kapustaimp,16250,472.00,4949.65,1003.00,531.0,1.5433050847457628,35.20399758387788,False,84.46153846153847,4328
cologne,2,vehev5,no-preemption,27226,18745.48,38240.71,19109.00,363.52000000000044,,,False,,89356
cologne,2,vehev4,fuzzy,16250,15906.21,22779.55,16261.00,354.7900000000009,-21.835991982867494,-2083.5991982867495,False,40.56,83726
cologne,2,vehev2,tpn4,20276,55.06,4208.14,419.00,363.94,16.578278241917907,93.96801051709028,False,228.37037037037038,2455
cologne,2,vehev3,rfid,17651,957.39,9559.15,1415.00,457.61,3.300608947241981,69.7025604673462,False,221.45833333333334,7059
cologne,2,vehev6,rfid,17651,4441.86,25286.08,4899.00,457.1400000000003,1.2957905021770162,22.82703119679207,False,221.45833333333334,32799
cologne,2,vehev3,tpn4,14368,1844.72,12541.45,2302.00,457.28,1.5130317880220303,33.90753532632061,False,810.8333333333334,13187
cologne,2,vehev5,kapustaimp,30366,72.64,3316.98,436.00,363.36,38.20429515418502,97.38249326164978,False,94.25925925925925,2128
cologne,2,vehev3,allgreen,11718,7037.00,30533.30,7494.00,457.0,-2.520271044639276,-152.0271044639276,False,7497.333333333333,51685
cologne,2,vehev1,allgreen,22737,1553.29,12832.22,2085.00,531.71,23.366769888430365,95.72041833434953,False,2088.6153846153848,11892
cologne,2,vehev1,kapustaimp,16993,3511.26,25873.36,4042.00,530.7399999999998,10.007863274152298,90.0078570959024,False,607.5384615384615,27798
